"row"	"col"	"value"
"148"	"HC-50-2-T0"	"MP-50-1-T0"	40.4958174586291
"149"	"HN-50-3-T0"	"MP-50-1-T0"	36.4430714521604
"150"	"MP-50-1-T0"	"MP-50-3-T0"	34.900643186223
"151"	"MP-50-3-T0"	"MP-50-3-T0"	0
"152"	"LP-50-3-T0"	"MP-50-3-T0"	38.3684266419975
"153"	"HA-50-2-T0"	"MP-50-3-T0"	36.1609475956819
"154"	"MP-50-2-T0"	"MP-50-3-T0"	34.7506326089568
"155"	"MC-50-1-T0"	"MP-50-3-T0"	41.6629715410077
"156"	"MA-50-1-T0"	"MP-50-3-T0"	34.7302231776972
"157"	"MA-50-3-T0"	"MP-50-3-T0"	31.9120807616493
"158"	"HC-50-3-T0"	"MP-50-3-T0"	41.9048480119916
"159"	"LA-50-3-T0"	"MP-50-3-T0"	33.006955894553
"160"	"HC-50-1-T0"	"MP-50-3-T0"	38.5186774609973
"161"	"HA-50-3-T0"	"MP-50-3-T0"	37.7503013655222
"162"	"LA-50-1-T0"	"MP-50-3-T0"	32.7965952927343
"163"	"HN-50-2-T0"	"MP-50-3-T0"	35.5409202350996
"164"	"LN-50-3-T1"	"MP-50-3-T0"	40.5026005065256
"165"	"HA-50-3-T1"	"MP-50-3-T0"	35.2296756884629
"166"	"LN-50-2-T1"	"MP-50-3-T0"	38.7972427885173
"167"	"MA-50-2-T1"	"MP-50-3-T0"	33.306452750604
"168"	"HN-50-2-T1"	"MP-50-3-T0"	37.6382570783271
"169"	"MN-50-3-T2"	"MP-50-3-T0"	46.9577838402847
"170"	"MA-50-3-T3"	"MP-50-3-T0"	34.2346180342241
"171"	"MN-50-1-T4"	"MP-50-3-T0"	35.5442349125368
"172"	"LN-50-2-T4"	"MP-50-3-T0"	34.0822543910022
"173"	"LN-50-3-T2"	"MP-50-3-T0"	38.0482431534629
"174"	"MN-50-1-T2"	"MP-50-3-T0"	37.0546551980389
"175"	"HA-50-1-T4"	"MP-50-3-T0"	34.6852811983884
"176"	"HA-50-3-T4"	"MP-50-3-T0"	42.6364179796706
"177"	"MP-50-2-TB"	"MP-50-3-T0"	35.8519768685127
"178"	"HC-50-3-TB"	"MP-50-3-T0"	33.2207863951918
"179"	"HP-50-3-TB"	"MP-50-3-T0"	35.0253914629775
"180"	"HP-50-1-TB"	"MP-50-3-T0"	34.6311358108861
"181"	"MP-50-3-TB"	"MP-50-3-T0"	37.8949909166296
"182"	"CTRL-50-4-TB"	"MP-50-3-T0"	33.9700793518933
"183"	"MC-50-1-TB"	"MP-50-3-T0"	32.9574915304667
"184"	"MC-50-3-TB"	"MP-50-3-T0"	37.5339471943775
"185"	"MC-50-2-TB"	"MP-50-3-T0"	34.2170233525036
"186"	"HP-50-2-TB"	"MP-50-3-T0"	35.6074043907355
"187"	"HC-50-1-TB"	"MP-50-3-T0"	34.4284289825113
"188"	"CTRL-50-3-TB"	"MP-50-3-T0"	34.7718462042626
"189"	"MP-50-1-TB"	"MP-50-3-T0"	35.4498568649294
"190"	"HA-50-3-T3"	"MP-50-3-T0"	42.4209649614902
"191"	"HC-50-2-TB"	"MP-50-3-T0"	33.9686112219543
"192"	"HP-50-2-TE"	"MP-50-3-T0"	36.3219278873847
"193"	"MC-50-3-TE"	"MP-50-3-T0"	35.9976955571148
"194"	"LP-50-1-T0"	"MP-50-3-T0"	38.6069864068153
"195"	"LA-50-2-T0"	"MP-50-3-T0"	36.9359488148346
"196"	"HA-50-1-T0"	"MP-50-3-T0"	35.8967372662783
"197"	"CTRL-50-1-T0"	"MP-50-3-T0"	42.1395202653777
"198"	"MN-50-1-T0"	"MP-50-3-T0"	43.8719535914044
"199"	"MN-50-2-T0"	"MP-50-3-T0"	40.9148859785199
"200"	"CTRL-50-3-T0"	"MP-50-3-T0"	34.0740425104898
"201"	"HP-50-1-T0"	"MP-50-3-T0"	35.1265295721554
"202"	"LC-50-3-T0"	"MP-50-3-T0"	41.4381554840976
"203"	"CTRL-50-2-T0"	"MP-50-3-T0"	41.0659339154823
"204"	"LA-50-3-T4"	"MP-50-3-T0"	40.3085502072998
"205"	"HN-50-3-T4"	"MP-50-3-T0"	46.2245027056268
"206"	"HN-50-1-T1"	"MP-50-3-T0"	37.6989190933716
"207"	"LA-50-1-T1"	"MP-50-3-T0"	38.6577834566142
"208"	"MA-50-1-T4"	"MP-50-3-T0"	38.127334664821
"209"	"HN-50-3-T1"	"MP-50-3-T0"	36.2137450850776
"210"	"LA-50-2-T1"	"MP-50-3-T0"	34.658178389736
"211"	"MN-50-3-T1"	"MP-50-3-T0"	44.0842573350938
"212"	"MN-50-1-T1"	"MP-50-3-T0"	46.4465757054948
"213"	"HA-50-1-T1"	"MP-50-3-T0"	38.4144552282357
"214"	"HA-50-2-T1"	"MP-50-3-T0"	35.2542253603235
"215"	"HA-50-2-T2"	"MP-50-3-T0"	39.6608762162649
"216"	"HA-50-3-T2"	"MP-50-3-T0"	33.9377976900808
"217"	"HN-50-1-T2"	"MP-50-3-T0"	38.0481105480722
"218"	"LN-50-2-T2"	"MP-50-3-T0"	36.013922677689
"219"	"CTRL-50-2-T0-2"	"MP-50-3-T0"	32.4627829890894
"220"	"MA-50-1-T2"	"MP-50-3-T0"	33.2495281609242
"221"	"MC-50-2-T0"	"MP-50-3-T0"	34.1396711371837
"222"	"LA-50-2-T2"	"MP-50-3-T0"	36.8958612327499
"223"	"LC-50-1-T0"	"MP-50-3-T0"	33.7480546681689
"224"	"MN-50-2-T2"	"MP-50-3-T0"	37.5389383253146
"225"	"HP-50-2-T0"	"MP-50-3-T0"	31.6765389093707
"226"	"LA-50-3-T3"	"MP-50-3-T0"	39.1015336019046
"227"	"CTRL-50-4-T0"	"MP-50-3-T0"	37.2046225067306
"228"	"MN-50-1-T3"	"MP-50-3-T0"	35.0079230526828
"229"	"MA-50-1-T1"	"MP-50-3-T0"	38.1775915031811
"230"	"HN-50-2-T3"	"MP-50-3-T0"	41.5019330653256
"231"	"MN-50-3-T2-2"	"MP-50-3-T0"	39.8577187683129
"232"	"MA-50-1-T3"	"MP-50-3-T0"	34.2352852428422
"233"	"HN-50-1-T3"	"MP-50-3-T0"	33.6875599452871
"234"	"LA-50-2-T3"	"MP-50-3-T0"	36.7998623202974
"235"	"LA-50-1-T3"	"MP-50-3-T0"	35.5436178870757
"236"	"HN-50-1-T4"	"MP-50-3-T0"	35.105263612318
"237"	"HA-50-1-T4-2"	"MP-50-3-T0"	43.0223184093503
"238"	"MA-50-3-T4"	"MP-50-3-T0"	44.2498999619805
"239"	"MA-50-2-T2"	"MP-50-3-T0"	38.7095463136684
"240"	"MA-50-2-T4"	"MP-50-3-T0"	48.7385114935656
"241"	"MN-50-2-T4"	"MP-50-3-T0"	43.2338972044851
"242"	"HA-50-2-T4"	"MP-50-3-T0"	34.9700627474195
"243"	"LA-50-1-T4"	"MP-50-3-T0"	35.3505832698006
"244"	"HC-50-2-TM"	"MP-50-3-T0"	39.0388380722512
"245"	"HC-50-1-TM"	"MP-50-3-T0"	38.0429847276171
"246"	"MC-50-1-TM"	"MP-50-3-T0"	37.7508420029818
"247"	"MP-50-3-TM"	"MP-50-3-T0"	38.9787236772124
"248"	"LA-50-2-T4"	"MP-50-3-T0"	35.9350368215889
"249"	"LN-50-1-T0"	"MP-50-3-T0"	41.4691385092872
"250"	"MP-50-1-TM"	"MP-50-3-T0"	39.5376292368144
"251"	"LC-50-2-T0"	"MP-50-3-T0"	37.2011319717049
"252"	"HN-50-3-T2"	"MP-50-3-T0"	34.9266237943102
"253"	"HP-50-1-TX"	"MP-50-3-T0"	36.1603704032642
"254"	"HP-50-2-TX"	"MP-50-3-T0"	33.563276296715
"255"	"HC-50-1-TX"	"MP-50-3-T0"	42.3166934450925
"256"	"HC-50-3-TM"	"MP-50-3-T0"	38.9395716556655
"257"	"HP-50-3-TM"	"MP-50-3-T0"	39.4386630190235
"258"	"HA-50-1-T2"	"MP-50-3-T0"	35.6013211221278
"259"	"LN-50-2-T3"	"MP-50-3-T0"	39.7905960300148
"260"	"MC-50-2-TM"	"MP-50-3-T0"	39.5678700145502
"261"	"MC-50-3-TM"	"MP-50-3-T0"	37.6198577045272
"262"	"HP-50-2-TM"	"MP-50-3-T0"	36.3121992074325
"263"	"CTRL-50-4-TM"	"MP-50-3-T0"	37.913791145652
"264"	"HC-50-1-TE"	"MP-50-3-T0"	37.3892305659046
"265"	"MP-50-2-TE"	"MP-50-3-T0"	33.9964149114809
"266"	"MC-50-2-TE"	"MP-50-3-T0"	34.7161956399229
"267"	"HC-50-2-TE"	"MP-50-3-T0"	37.3654020450273
"268"	"MC-50-1-TE"	"MP-50-3-T0"	35.105100705331
"269"	"HC-50-3-TE"	"MP-50-3-T0"	34.5349244500396
"270"	"MP-50-1-TE"	"MP-50-3-T0"	34.8352955936725
"271"	"HP-50-3-TE"	"MP-50-3-T0"	38.6818909353231
"272"	"CTRL-50-4-TE"	"MP-50-3-T0"	38.3585722101073
"273"	"HP-50-1-TE"	"MP-50-3-T0"	38.5526905081245
"274"	"MP-50-3-TE"	"MP-50-3-T0"	36.9300283555441
"275"	"CTRL-50-3-TE"	"MP-50-3-T0"	37.5157753248399
"276"	"CTRL-50-4-TX"	"MP-50-3-T0"	36.3458119734546
"277"	"MP-50-3-TX"	"MP-50-3-T0"	43.5460047380994
