"","observed","simpson","shannon","SampleID","Phenotype","Rep","Nutrient","Exposure_weeks","Nutrient_weeks","Nutrient_geno","Nutrient_merged_geno","Tank","T0_merge","NW_T0_merge","Nutrient_order","Nutrient_no_level","Geno_weeks","No_level_no_T0","Level","No_level_weeks","No_level_weeks_noT0","outlier"
"MC-50-3-TB",40,0.949959821754694,3.33652132998739,"MC-50-3-TB","Susceptible",3,"LC","0","LC0","50_T0","50_T0","MC-50-3","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
"MC-50-2-TB",33,0.873564337951802,2.7997746509107,"MC-50-2-TB","Susceptible",2,"LC","0","LC0","50_T0","50_T0","MC-50-2","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
"HP-50-2-TB",46,0.847379485556124,2.69073352452835,"HP-50-2-TB","Susceptible",2,"HP","0","HP0","50_T0","50_T0","HP-50-2","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"HC-50-1-TB",26,0.793889659986526,2.22287911809006,"HC-50-1-TB","Susceptible",1,"HC","0","HC0","50_T0","50_T0","HC-50-1","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"CTRL-50-3-TB",37,0.826438097093368,2.68259875681885,"CTRL-50-3-TB","Susceptible",3,"NT","0","NT0","50_T0","50_T0","CTRL-50-3","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"MP-50-1-TB",30,0.891064195907501,2.81730096768062,"MP-50-1-TB","Susceptible",1,"LP","0","LP0","50_T0","50_T0","MP-50-1","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"HA-50-3-T3",28,0.750951696820643,2.14381432137158,"HA-50-3-T3","Susceptible",3,"HA","6","HA6","50_HA","50_A","HA-50-3","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"HC-50-2-TB",31,0.87091825553364,2.73927261217702,"HC-50-2-TB","Susceptible",2,"HC","0","HC0","50_T0","50_T0","HC-50-2","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"HP-50-2-TE",15,0.854944359217863,2.30956283072827,"HP-50-2-TE","Susceptible",2,"HP","6","HP6","50_HP","50_P","HP-50-2","HP","HP6",3,"Phosphate","50_6","Phosphate","H","P6","P6","N"
"MC-50-3-TE",21,0.835934773256711,2.48536657393981,"MC-50-3-TE","Susceptible",3,"LC","6","LC6","50_LC","50_C","MC-50-3","LC","LC6",8,"Combined","50_6","Combined","L","C6","C6","N"
"LP-50-1-T0",41,0.951891624256297,3.28936290706192,"LP-50-1-T0","Susceptible",1,"NT","0","NT0","50_T0","50_T0","LP-50-1","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"LA-50-2-T0",40,0.761893166451571,2.4543536283558,"LA-50-2-T0","Susceptible",2,"LA","0","LA0","50_T0","50_T0","LA-50-2","T0","T0",6,"T0","50_0","Ammonium","0","T0","A0","N"
