SampleID	Genotype	Phenotype	Rep	Nutrient	Exposure_weeks	Nutrient_weeks	Nutrient_geno	Nutrient_merged_geno	Tank	T0_merge	NW_T0_merge	Nutrient_order	Nutrient_no_level	Geno_weeks	No_level_no_T0	Level	No_level_weeks	No_level_weeks_noT0	outlier
HP-50-1-TM	50	Susceptible	1	HP	3	HP3	50_HP	50_P	HP-50-1	HP	HP3	3	Phosphate	50_3	Phosphate	H	P3	P3	N
HP-50-3-TM	50	Susceptible	3	HP	3	HP3	50_HP	50_P	HP-50-3	HP	HP3	3	Phosphate	50_3	Phosphate	H	P3	P3	N
HP-50-2-TM	50	Susceptible	2	HP	6	HP6	50_HP	50_P	HP-50-2	HP	HP6	3	Phosphate	50_6	Phosphate	H	P6	P6	N
HP-50-1-TE	50	Susceptible	1	HP	6	HP6	50_HP	50_P	HP-50-1	HP	HP6	3	Phosphate	50_6	Phosphate	H	P6	P6	N
HP-50-3-TE	50	Susceptible	3	HP	6	HP6	50_HP	50_P	HP-50-3	HP	HP6	3	Phosphate	50_6	Phosphate	H	P6	P6	N
MP-50-3-T0	50	Susceptible	3	LP	0	LP0	50_T0	50_T0	MP-50-3	T0	T0	2	T0	50_0	Phosphate	0	T0	P0	N
MP-50-2-T0	50	Susceptible	2	LP	0	LP0	50_T0	50_T0	MP-50-2	T0	T0	2	T0	50_0	Phosphate	0	T0	P0	N
MP-50-1-T0	50	Susceptible	1	LP	0	LP0	50_T0	50_T0	MP-50-1	T0	T0	2	T0	50_0	Phosphate	0	T0	P0	N
MP-50-2-TM	50	Susceptible	2	LP	3	LP3	50_LP	50_P	MP-50-2	LP	LP3	2	Phosphate	50_3	Phosphate	L	P3	P3	N
MP-50-3-TM	50	Susceptible	3	LP	3	LP3	50_LP	50_P	MP-50-3	LP	LP3	2	Phosphate	50_3	Phosphate	L	P3	P3	N
MP-50-3-TX	50	Susceptible	3	LP	3	LP3	50_LP	50_P	MP-50-3	LP	LP3	2	Phosphate	50_3	Phosphate	L	P3	P3	N
MP-50-1-TM	50	Susceptible	1	LP	3	LP3	50_LP	50_P	MP-50-1	LP	LP3	2	Phosphate	50_3	Phosphate	L	P3	P3	N
MP-50-2-TE	50	Susceptible	2	LP	6	LP6	50_LP	50_P	MP-50-2	LP	LP6	2	Phosphate	50_6	Phosphate	L	P6	P6	N
MP-50-3-TE	50	Susceptible	3	LP	6	LP6	50_LP	50_P	MP-50-3	LP	LP6	2	Phosphate	50_6	Phosphate	L	P6	P6	N
MP-50-2-TX	50	Susceptible	2	LP	6	LP6	50_LP	50_P	MP-50-2	LP	LP6	2	Phosphate	50_6	Phosphate	L	P6	P6	N
MP-50-1-TE	50	Susceptible	1	LP	6	LP6	50_LP	50_P	MP-50-1	LP	LP6	2	Phosphate	50_6	Phosphate	L	P6	P6	N
LP-50-3-T0	50	Susceptible	3	HP	0	HP0	50_T0	50_T0	LP-50-3	T0	T0	3	T0	50_0	Phosphate	0	T0	P0	N
HA-50-2-T0	50	Susceptible	2	HA	0	HA0	50_T0	50_T0	HA-50-2	T0	T0	7	T0	50_0	Ammonium	0	T0	A0	N
MC-50-1-T0	50	Susceptible	1	LC	0	LC0	50_T0	50_T0	MC-50-1	T0	T0	8	T0	50_0	Combined	0	T0	C0	N
MA-50-3-T0	50	Susceptible	3	LA	0	LA0	50_T0	50_T0	MA-50-3	T0	T0	6	T0	50_0	Ammonium	0	T0	A0	N
HC-50-3-T0	50	Susceptible	3	HC	0	HC0	50_T0	50_T0	HC-50-3	T0	T0	9	T0	50_0	Combined	0	T0	C0	N
HC-50-1-T0	50	Susceptible	1	HC	0	HC0	50_T0	50_T0	HC-50-1	T0	T0	9	T0	50_0	Combined	0	T0	C0	N
HA-50-3-T0	50	Susceptible	3	HA	0	HA0	50_T0	50_T0	HA-50-3	T0	T0	7	T0	50_0	Ammonium	0	T0	A0	N
LA-50-1-T0	50	Susceptible	1	NT	0	NT0	50_T0	50_T0	LA-50-1	T0	T0	1	T0	50_0	No Treatment	0	T0	NT0	N
