SampleID	Genotype	Phenotype	Rep	Nutrient	Exposure_weeks	Nutrient_weeks	Nutrient_geno	Nutrient_merged_geno	Tank	T0_merge	NW_T0_merge	Nutrient_order	Nutrient_no_level	Geno_weeks	No_level_no_T0	Level	No_level_weeks	No_level_weeks_noT0	outlier
HA-7-5-TE	7	Resistant	5	HA	6	HA6	7_HA	7_A	HA-7-5	HA	HA6	7	Ammonium	7_6	Ammonium	H	A6	A6	N
HA-7-4-TE	7	Resistant	4	HA	6	HA6	7_HA	7_A	HA-7-4	HA	HA6	7	Ammonium	7_6	Ammonium	H	A6	A6	N
HA-7-6-TE	7	Resistant	6	HA	6	HA6	7_HA	7_A	HA-7-6	HA	HA6	7	Ammonium	7_6	Ammonium	H	A6	A6	N
LA-50-3-T0	50	Susceptible	3	HA	0	T0	50_T0	50_T0	LA-50-3	T0	T0	7	T0	50_0	Ammonium	0	T0	A0	N
HA-50-3-T3	50	Susceptible	3	HA	6	HA6	50_HA	50_A	HA-50-3	HA	HA6	7	Ammonium	50_6	Ammonium	H	A6	A6	N
LA-50-3-T4	50	Susceptible	3	HA	6	HA6	50_HA	50_A	LA-50-3	HA	HA6	7	Ammonium	50_6	Ammonium	H	A6	A6	N
MA-7-1-T0	7	Resistant	1	LA	0	T0	7_T0	7_T0	MA-7-1	T0	T0	6	T0	7_0	Ammonium	0	T0	A0	N
MA-7-2-T0	7	Resistant	2	LA	0	T0	7_T0	7_T0	MA-7-2	T0	T0	6	T0	7_0	Ammonium	0	T0	A0	N
MA-7-3-T0	7	Resistant	3	LA	0	T0	7_T0	7_T0	MA-7-3	T0	T0	6	T0	7_0	Ammonium	0	T0	A0	N
MA-7-6-TX	7	Resistant	6	LA	3	LA3	7_LA	7_A	MA-7-6	LA	LA3	6	Ammonium	7_3	Ammonium	L	A3	A3	N
MA-7-4-TM	7	Resistant	4	LA	3	LA3	7_LA	7_A	MA-7-4	LA	LA3	6	Ammonium	7_3	Ammonium	L	A3	A3	N
MA-7-6-TM	7	Resistant	6	LA	3	LA3	7_LA	7_A	MA-7-6	LA	LA3	6	Ammonium	7_3	Ammonium	L	A3	A3	N
MA-7-5-TM	7	Resistant	5	LA	3	LA3	7_LA	7_A	MA-7-5	LA	LA3	6	Ammonium	7_3	Ammonium	L	A3	A3	N
MA-7-1-T2	7	Resistant	1	LA	6	LA6	7_LA	7_A	MA-7-1	LA	LA6	6	Ammonium	7_6	Ammonium	L	A6	A6	N
MA-7-3-T2	7	Resistant	3	LA	6	LA6	7_LA	7_A	MA-7-3	LA	LA6	6	Ammonium	7_6	Ammonium	L	A6	A6	N
MA-7-5-TE	7	Resistant	5	LA	6	LA6	7_LA	7_A	MA-7-5	LA	LA6	6	Ammonium	7_6	Ammonium	L	A6	A6	N
MA-7-4-TE	7	Resistant	4	LA	6	LA6	7_LA	7_A	MA-7-4	LA	LA6	6	Ammonium	7_6	Ammonium	L	A6	A6	N
MA-7-6-TE	7	Resistant	6	LA	6	LA6	7_LA	7_A	MA-7-6	LA	LA6	6	Ammonium	7_6	Ammonium	L	A6	A6	N
MA-50-2-T0	50	Susceptible	2	LA	0	LA0	50_T0	50_T0	MA-50-2	T0	T0	6	T0	50_0	Ammonium	0	T0	A0	N
MA-50-1-T0	50	Susceptible	1	LA	0	LA0	50_T0	50_T0	MA-50-1	T0	T0	6	T0	50_0	Ammonium	0	T0	A0	N
MA-50-1-T1	50	Susceptible	1	LA	3	LA3	50_LA	50_A	MA-50-1	LA	LA3	6	Ammonium	50_3	Ammonium	L	A3	A3	N
MA-50-3-T2	50	Susceptible	3	LA	3	LA3	50_LA	50_A	MA-50-3	LA	LA3	6	Ammonium	50_3	Ammonium	L	A3	A3	N
MA-50-3-T1	50	Susceptible	3	LA	3	LA3	50_LA	50_A	MA-50-3	LA	LA3	6	Ammonium	50_3	Ammonium	L	A3	A3	N
MA-50-1-T4	50	Susceptible	1	LA	6	LA6	50_LA	50_A	MA-50-1	LA	LA6	6	Ammonium	50_6	Ammonium	L	A6	A6	N
MA-50-2-T2	50	Susceptible	2	LA	6	LA6	50_LA	50_A	MA-50-2	LA	LA6	6	Ammonium	50_6	Ammonium	L	A6	A6	N
LN-7-3-T0	7	Resistant	3	HN	0	HN0	7_T0	7_T0	LN-7-3	T0	T0	5	T0	7_0	Nitrate	0	T0	N0	N
HN-7-1-T0	7	Resistant	1	HN	0	HN0	7_T0	7_T0	HN-7-1	T0	T0	5	T0	7_0	Nitrate	0	T0	N0	N
HN-7-X-T0	7	Resistant	4	HN	0	HN0	7_T0	7_T0	HN-7-X	T0	T0	5	T0	7_0	Nitrate	0	T0	N0	N
HN-7-2-T0	7	Resistant	2	HN	0	HN0	7_T0	7_T0	HN-7-2	T0	T0	5	T0	7_0	Nitrate	0	T0	N0	N
HN-7-2-T2	7	Resistant	2	HN	3	HN3	7_HN	7_N	HN-7-2	HN	HN3	5	Nitrate	7_3	Nitrate	H	N3	N3	N
LN-7-3-T1	7	Resistant	3	HN	3	HN3	7_HN	7_N	HN-7-3	HN	HN3	5	Nitrate	7_3	Nitrate	H	N3	N3	N
HN-7-3-T2	7	Resistant	3	HN	6	HN6	7_HN	7_N	HN-7-3	HN	HN6	5	Nitrate	7_6	Nitrate	H	N6	N6	N
HN-7-2-T1	7	Resistant	2	HN	6	HN6	7_HN	7_N	HN-7-2	HN	HN6	5	Nitrate	7_6	Nitrate	H	N6	N6	N
LN-50-3-T0	50	Susceptible	3	HN	0	HN0	50_T0	50_T0	LN-50-3	T0	T0	5	T0	50_0	Nitrate	0	T0	N0	N
HN-50-3-T0	50	Susceptible	3	HN	0	HN0	50_T0	50_T0	HN-50-3	T0	T0	5	T0	50_0	Nitrate	0	T0	N0	N
HN-50-1-T0	50	Susceptible	1	HN	0	HN0	50_T0	50_T0	HN-50-1	T0	T0	5	T0	50_0	Nitrate	0	T0	N0	N
HN-50-3-T4	50	Susceptible	3	HN	6	HN6	50_HN	50_N	HN-50-3	HN	HN6	5	Nitrate	50_6	Nitrate	H	N6	N6	N
LN-50-3-T2	50	Susceptible	3	HN	6	HN6	50_HN	50_N	LN-50-3	HN	HN6	5	Nitrate	50_6	Nitrate	H	N6	N6	N
MN-7-2-T0	7	Resistant	2	LN	0	LN0	7_T0	7_T0	MN-7-2	T0	T0	4	T0	7_0	Nitrate	0	T0	N0	N
MN-7-1-T0	7	Resistant	1	LN	0	LN0	7_T0	7_T0	MN-7-1	T0	T0	4	T0	7_0	Nitrate	0	T0	N0	N
MN-7-3-T0	7	Resistant	3	LN	0	LN0	7_T0	7_T0	MN-7-3	T0	T0	4	T0	7_0	Nitrate	0	T0	N0	N
LN-7-2-T1	7	Resistant	2	LN	3	LN3	7_LN	7_N	LN-7-2	LN	LN3	4	Nitrate	7_3	Nitrate	L	N3	N3	N
